A1C,DFC,IPC,ITC,M1C,MFC,OFC,S1C,STC,V1C,VFC
0.037581,0.048802,0.084244,0.0558595,0.0918905,0.0949405,0.0502005,0.0899785,0.04344,0.04317,0.1047965
2.015221,1.6515305,1.916547,1.8856235,1.8066605,1.6457505,1.637095,1.931488,2.009117,1.882724,1.5001945
15.2668875,18.8190205,15.9995605,17.6141,15.248478,16.3809175,19.0202375,13.93479,19.349864,13.4538445,18.3346535
1.343955,1.335208,1.4266155,1.382282,1.326869,1.7087095,1.3396805,1.3948485,1.1206725,1.0331915,1.2011195
0.1520495,0.114427,0.1084625,0.112673,0.241359,0.15925,0.1042685,0.175161,0.1233455,0.2275985,0.1343585
14.4229465,15.302609,12.186445,16.7356265,12.283455,15.3862035,13.8641785,15.528286,12.4609435,15.4194595,14.0434605
63.707615,62.583623,61.309155,65.12619,71.3562155,61.634356,61.9592175,64.3961785,74.9350075,62.303509,63.409456
12.0270705,9.089386,11.236064,9.6128815,22.595246,14.5645055,11.679637,18.998013,11.590085,15.2612835,11.080132
4.265751,4.373303,4.28,3.8560215,4.089529,4.6525635,4.353148,4.4332945,3.2909035,4.227709,4.164438
3.62466,4.106643,3.6767205,3.9356725,3.400199,3.9216245,4.766292,3.3447955,3.501915,4.32984,3.2705705
7.963384,7.5150625,8.2584725,10.119584,6.599429,8.9427125,6.5710625,8.4127705,5.253185,6.4641395,6.5801645
10.0557065,9.4128745,10.34295,7.662982,9.5824065,9.4936435,9.8305565,9.8527015,7.749645,7.374072,9.1421675
0.4261805,0.4556655,0.2908415,0.31953,0.6105375,0.4170575,0.2946895,0.40735,0.3362645,0.359124,0.3989225
17.944543,16.9395175,16.876627,17.659131,17.759055,15.517215,17.3462815,18.585326,22.1499445,20.295055,17.5649115
4.2138645,4.8726135,4.7821035,5.869219,5.312163,5.283647,4.3325,4.650644,5.383512,4.9086325,4.9140525
1.914428,1.7299465,1.8561995,1.58033,1.7257605,2.074343,1.722091,1.880821,1.4966325,1.8745105,1.6146785
11.194127,9.373491,10.3010545,8.0577985,11.75746,11.7173465,10.6661685,11.629307,8.7980315,7.8810035,10.1135105
5.941754,6.3628415,6.8285145,6.4743935,5.901566,6.1218365,7.0823205,6.474763,6.233401,6.1301245,6.5567925
0.2838295,0.269119,0.1784845,0.369295,0.4709015,0.331664,0.373948,0.3347965,0.3065535,0.487739,0.4043925
0.028227,0.0112875,0.0224235,0.0228335,0.0803695,0.0510385,0.0323365,0.039386,0.004297,0.010388,0.041044
21.904125,20.3036265,21.1923905,20.073987,22.2539635,18.3490565,21.802102,22.0419925,22.5310015,26.6298255,21.789509
20.0728115,22.0829935,20.680217,24.42047,30.1676125,24.9288325,20.887362,25.9493725,36.319395,37.362682,22.5288945
3.3204885,2.975562,3.3087535,11.0279295,2.503232,5.582089,3.897752,2.0665,5.859796,1.503943,2.771675
2.4366735,4.0946935,2.8812795,4.223961,3.8382755,4.6268875,3.6883835,4.2298485,4.303781,5.1155715,4.198995
9.318924,11.1063395,9.180583,8.283844,16.483068,14.9097555,13.087451,12.602968,10.2179165,16.3125205,11.7865455
1.782577,2.4672085,1.690903,2.4559475,2.010135,3.0797845,1.9427275,1.546655,2.0969645,2.028777,2.4649095
0.0417665,0,0,0.08046,0.015444,0.0435795,0.0090365,0,0.015312,0,0.0518065
1.1905985,1.481565,1.2901495,1.4229105,1.6109035,1.712055,1.405246,1.72438,1.7516085,1.668124,1.6059375
2.0519915,2.282467,2.2066015,3.159812,1.953303,2.8132545,2.0891075,2.521505,2.3838545,2.87176,2.068796
0,0,0,0,0,0.034109,0,0,0,0,0
0.5020565,0.4497055,0.1768095,0.516122,0.614883,0.2287685,0.430697,0.763656,0.4677115,0.988741,1.184905
3.777379,4.5147595,4.3303555,4.087778,3.6110595,4.6533055,3.9154145,3.4528525,2.6677735,3.4371395,3.7444125
16.429601,17.1978205,14.4031685,21.35022,14.7664455,15.022531,18.157668,14.171926,18.6122345,9.49882,20.5883415
29.6803175,33.0361795,27.755464,39.4982145,29.691189,34.357959,29.368369,27.7340755,38.4425215,43.080846,32.3774645
137.547084,143.340688,144.9167785,145.497887,118.967444,130.1168365,125.9115765,119.2686345,111.4566415,98.073841,133.7511405
3.0810615,4.1065955,3.94919,3.3089435,5.531392,3.8403595,4.31755,3.737633,5.1474615,3.402151,2.977287
7.4000005,8.071711,7.6328975,7.2898135,7.5579695,7.7584655,7.6622125,8.1250295,7.82554,9.0865475,7.7193535
41.1262105,39.83945,34.5447385,37.7659665,38.54712,34.3651445,34.6703115,35.505126,43.9918705,31.9306315,37.3406575
8.4064345,10.0063915,9.4689345,9.3236885,11.7164315,11.1473845,9.9804585,10.835975,10.8059595,8.868541,10.1460625
